Phase,PotPcnt,StackPcnt,BetPcnt,AvgBetAmt,BetAmtStdDev,AIPcnt,FoldPcnt,AvgFoldAmt
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,1.0,112.66666666666667,57.04579057408375,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.0,0.0,0.0,0.0,1.0,350.0
FLOP,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.85,416.7647058823529,632.0692934287362,0.0,0.25,262.0
PREFLOP,LOW,HIGH,0.5,16.0,0.0,0.0,0.5,14.0
FLOP,LOW,LOW,1.0,700.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.2727272727272727,566.6666666666666,385.8612300930075,0.0,0.8181818181818182,729.1111111111111
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.7142857142857143,423.0,358.69113918987927,0.0,0.2857142857142857,105.83333333333333
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
RIVER,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,140.0,195.95917942265424,0.0,0.0,0.0
FLOP,LOW,LOW,0.8181818181818182,127.77777777777777,190.191586318041,0.0,0.18181818181818182,244.0
PREFLOP,LOW,LOW,0.46808510638297873,562.0,715.7790415789193,0.0,0.5531914893617021,525.0769230769231
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.6,1100.0,707.1067811865476,0.0,0.4,75.0
RIVER,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.5862068965517241,384.4117647058824,431.2017487173328,0.0,0.41379310344827586,435.0
TURN,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
TURN,HIGH,LOW,1.0,11250.0,0.0,0.0,0.0,0.0
FLOP,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,7.75,13.423393758658799,0.0,0.0,0.0
FLOP,MEDIUM,LOW,1.0,0.0,0.0,0.0,0.0,0.0
